klass	lgbm_bin	pst_bin	n	lgbm_p	pst_p
Ground-truth non-viral	0	0	551540	0.01	0.01
Ground-truth non-viral	0	1	509	0.01	0.03
Ground-truth non-viral	0	2	7910	0.01	0.05
Ground-truth non-viral	0	3	450	0.01	0.07
Ground-truth non-viral	0	4	811	0.01	0.09
Ground-truth non-viral	0	5	499	0.01	0.11
Ground-truth non-viral	0	6	225	0.01	0.13
Ground-truth non-viral	0	7	325	0.01	0.15
Ground-truth non-viral	0	8	128	0.01	0.17
Ground-truth non-viral	0	9	168	0.01	0.19
Ground-truth non-viral	0	10	152	0.01	0.21
Ground-truth non-viral	0	11	114	0.01	0.23
Ground-truth non-viral	0	12	132	0.01	0.25
Ground-truth non-viral	0	13	82	0.01	0.27
Ground-truth non-viral	0	14	74	0.01	0.29
Ground-truth non-viral	0	15	83	0.01	0.31
Ground-truth non-viral	0	16	57	0.01	0.33
Ground-truth non-viral	0	17	72	0.01	0.35
Ground-truth non-viral	0	18	60	0.01	0.37
Ground-truth non-viral	0	19	68	0.01	0.39
Ground-truth non-viral	0	20	63	0.01	0.41
Ground-truth non-viral	0	21	46	0.01	0.43
Ground-truth non-viral	0	22	70	0.01	0.45
Ground-truth non-viral	0	23	49	0.01	0.47
Ground-truth non-viral	0	24	45	0.01	0.49
Ground-truth non-viral	0	25	56	0.01	0.51
Ground-truth non-viral	0	26	57	0.01	0.53
Ground-truth non-viral	0	27	56	0.01	0.55
Ground-truth non-viral	0	28	37	0.01	0.57
Ground-truth non-viral	0	29	43	0.01	0.59
Ground-truth non-viral	0	30	38	0.01	0.61
Ground-truth non-viral	0	31	46	0.01	0.63
Ground-truth non-viral	0	32	30	0.01	0.65
Ground-truth non-viral	0	33	38	0.01	0.67
Ground-truth non-viral	0	34	40	0.01	0.69
Ground-truth non-viral	0	35	39	0.01	0.71
Ground-truth non-viral	0	36	33	0.01	0.73
Ground-truth non-viral	0	37	34	0.01	0.75
Ground-truth non-viral	0	38	32	0.01	0.77
Ground-truth non-viral	0	39	39	0.01	0.79
Ground-truth non-viral	0	40	38	0.01	0.81
Ground-truth non-viral	0	41	29	0.01	0.83
Ground-truth non-viral	0	42	47	0.01	0.85
Ground-truth non-viral	0	43	21	0.01	0.87
Ground-truth non-viral	0	44	32	0.01	0.89
Ground-truth non-viral	0	45	44	0.01	0.91
Ground-truth non-viral	0	46	16	0.01	0.93
Ground-truth non-viral	0	47	78	0.01	0.95
Ground-truth non-viral	0	48	9	0.01	0.97
Ground-truth non-viral	0	49	125	0.01	0.99
Ground-truth non-viral	1	0	63774	0.03	0.01
Ground-truth non-viral	1	1	73	0.03	0.03
Ground-truth non-viral	1	2	1353	0.03	0.05
Ground-truth non-viral	1	3	85	0.03	0.07
Ground-truth non-viral	1	4	230	0.03	0.09
Ground-truth non-viral	1	5	137	0.03	0.11
Ground-truth non-viral	1	6	60	0.03	0.13
Ground-truth non-viral	1	7	117	0.03	0.15
Ground-truth non-viral	1	8	54	0.03	0.17
Ground-truth non-viral	1	9	59	0.03	0.19
Ground-truth non-viral	1	10	47	0.03	0.21
Ground-truth non-viral	1	11	41	0.03	0.23
Ground-truth non-viral	1	12	36	0.03	0.25
Ground-truth non-viral	1	13	23	0.03	0.27
Ground-truth non-viral	1	14	27	0.03	0.29
Ground-truth non-viral	1	15	41	0.03	0.31
Ground-truth non-viral	1	16	31	0.03	0.33
Ground-truth non-viral	1	17	30	0.03	0.35
Ground-truth non-viral	1	18	19	0.03	0.37
Ground-truth non-viral	1	19	22	0.03	0.39
Ground-truth non-viral	1	20	28	0.03	0.41
Ground-truth non-viral	1	21	35	0.03	0.43
Ground-truth non-viral	1	22	28	0.03	0.45
Ground-truth non-viral	1	23	26	0.03	0.47
Ground-truth non-viral	1	24	19	0.03	0.49
Ground-truth non-viral	1	25	26	0.03	0.51
Ground-truth non-viral	1	26	24	0.03	0.53
Ground-truth non-viral	1	27	30	0.03	0.55
Ground-truth non-viral	1	28	20	0.03	0.57
Ground-truth non-viral	1	29	17	0.03	0.59
Ground-truth non-viral	1	30	21	0.03	0.61
Ground-truth non-viral	1	31	16	0.03	0.63
Ground-truth non-viral	1	32	23	0.03	0.65
Ground-truth non-viral	1	33	17	0.03	0.67
Ground-truth non-viral	1	34	18	0.03	0.69
Ground-truth non-viral	1	35	23	0.03	0.71
Ground-truth non-viral	1	36	13	0.03	0.73
Ground-truth non-viral	1	37	19	0.03	0.75
Ground-truth non-viral	1	38	19	0.03	0.77
Ground-truth non-viral	1	39	18	0.03	0.79
Ground-truth non-viral	1	40	18	0.03	0.81
Ground-truth non-viral	1	41	15	0.03	0.83
Ground-truth non-viral	1	42	22	0.03	0.85
Ground-truth non-viral	1	43	12	0.03	0.87
Ground-truth non-viral	1	44	23	0.03	0.89
Ground-truth non-viral	1	45	28	0.03	0.91
Ground-truth non-viral	1	46	14	0.03	0.93
Ground-truth non-viral	1	47	48	0.03	0.95
Ground-truth non-viral	1	48	10	0.03	0.97
Ground-truth non-viral	1	49	92	0.03	0.99
Ground-truth non-viral	2	0	32152	0.05	0.01
Ground-truth non-viral	2	1	40	0.05	0.03
Ground-truth non-viral	2	2	831	0.05	0.05
Ground-truth non-viral	2	3	42	0.05	0.07
Ground-truth non-viral	2	4	153	0.05	0.09
Ground-truth non-viral	2	5	72	0.05	0.11
Ground-truth non-viral	2	6	51	0.05	0.13
Ground-truth non-viral	2	7	67	0.05	0.15
Ground-truth non-viral	2	8	36	0.05	0.17
Ground-truth non-viral	2	9	44	0.05	0.19
Ground-truth non-viral	2	10	31	0.05	0.21
Ground-truth non-viral	2	11	23	0.05	0.23
Ground-truth non-viral	2	12	31	0.05	0.25
Ground-truth non-viral	2	13	17	0.05	0.27
Ground-truth non-viral	2	14	18	0.05	0.29
Ground-truth non-viral	2	15	15	0.05	0.31
Ground-truth non-viral	2	16	17	0.05	0.33
Ground-truth non-viral	2	17	27	0.05	0.35
Ground-truth non-viral	2	18	16	0.05	0.37
Ground-truth non-viral	2	19	29	0.05	0.39
Ground-truth non-viral	2	20	13	0.05	0.41
Ground-truth non-viral	2	21	13	0.05	0.43
Ground-truth non-viral	2	22	26	0.05	0.45
Ground-truth non-viral	2	23	18	0.05	0.47
Ground-truth non-viral	2	24	14	0.05	0.49
Ground-truth non-viral	2	25	19	0.05	0.51
Ground-truth non-viral	2	26	17	0.05	0.53
Ground-truth non-viral	2	27	17	0.05	0.55
Ground-truth non-viral	2	28	7	0.05	0.57
Ground-truth non-viral	2	29	16	0.05	0.59
Ground-truth non-viral	2	30	11	0.05	0.61
Ground-truth non-viral	2	31	13	0.05	0.63
Ground-truth non-viral	2	32	24	0.05	0.65
Ground-truth non-viral	2	33	17	0.05	0.67
Ground-truth non-viral	2	34	15	0.05	0.69
Ground-truth non-viral	2	35	14	0.05	0.71
Ground-truth non-viral	2	36	14	0.05	0.73
Ground-truth non-viral	2	37	14	0.05	0.75
Ground-truth non-viral	2	38	14	0.05	0.77
Ground-truth non-viral	2	39	10	0.05	0.79
Ground-truth non-viral	2	40	12	0.05	0.81
Ground-truth non-viral	2	41	7	0.05	0.83
Ground-truth non-viral	2	42	13	0.05	0.85
Ground-truth non-viral	2	43	11	0.05	0.87
Ground-truth non-viral	2	44	16	0.05	0.89
Ground-truth non-viral	2	45	21	0.05	0.91
Ground-truth non-viral	2	46	5	0.05	0.93
Ground-truth non-viral	2	47	35	0.05	0.95
Ground-truth non-viral	2	48	7	0.05	0.97
Ground-truth non-viral	2	49	72	0.05	0.99
Ground-truth non-viral	3	0	19043	0.07	0.01
Ground-truth non-viral	3	1	38	0.07	0.03
Ground-truth non-viral	3	2	571	0.07	0.05
Ground-truth non-viral	3	3	33	0.07	0.07
Ground-truth non-viral	3	4	117	0.07	0.09
Ground-truth non-viral	3	5	81	0.07	0.11
Ground-truth non-viral	3	6	38	0.07	0.13
Ground-truth non-viral	3	7	70	0.07	0.15
Ground-truth non-viral	3	8	40	0.07	0.17
Ground-truth non-viral	3	9	36	0.07	0.19
Ground-truth non-viral	3	10	25	0.07	0.21
Ground-truth non-viral	3	11	23	0.07	0.23
Ground-truth non-viral	3	12	30	0.07	0.25
Ground-truth non-viral	3	13	15	0.07	0.27
Ground-truth non-viral	3	14	17	0.07	0.29
Ground-truth non-viral	3	15	27	0.07	0.31
Ground-truth non-viral	3	16	12	0.07	0.33
Ground-truth non-viral	3	17	19	0.07	0.35
Ground-truth non-viral	3	18	20	0.07	0.37
Ground-truth non-viral	3	19	12	0.07	0.39
Ground-truth non-viral	3	20	22	0.07	0.41
Ground-truth non-viral	3	21	14	0.07	0.43
Ground-truth non-viral	3	22	19	0.07	0.45
Ground-truth non-viral	3	23	17	0.07	0.47
Ground-truth non-viral	3	24	17	0.07	0.49
Ground-truth non-viral	3	25	11	0.07	0.51
Ground-truth non-viral	3	26	10	0.07	0.53
Ground-truth non-viral	3	27	14	0.07	0.55
Ground-truth non-viral	3	28	18	0.07	0.57
Ground-truth non-viral	3	29	14	0.07	0.59
Ground-truth non-viral	3	30	16	0.07	0.61
Ground-truth non-viral	3	31	12	0.07	0.63
Ground-truth non-viral	3	32	19	0.07	0.65
Ground-truth non-viral	3	33	9	0.07	0.67
Ground-truth non-viral	3	34	10	0.07	0.69
Ground-truth non-viral	3	35	14	0.07	0.71
Ground-truth non-viral	3	36	11	0.07	0.73
Ground-truth non-viral	3	37	11	0.07	0.75
Ground-truth non-viral	3	38	11	0.07	0.77
Ground-truth non-viral	3	39	10	0.07	0.79
Ground-truth non-viral	3	40	24	0.07	0.81
Ground-truth non-viral	3	41	10	0.07	0.83
Ground-truth non-viral	3	42	11	0.07	0.85
Ground-truth non-viral	3	43	10	0.07	0.87
Ground-truth non-viral	3	44	12	0.07	0.89
Ground-truth non-viral	3	45	21	0.07	0.91
Ground-truth non-viral	3	46	5	0.07	0.93
Ground-truth non-viral	3	47	37	0.07	0.95
Ground-truth non-viral	3	48	2	0.07	0.97
Ground-truth non-viral	3	49	72	0.07	0.99
Ground-truth non-viral	4	0	13411	0.09	0.01
Ground-truth non-viral	4	1	18	0.09	0.03
Ground-truth non-viral	4	2	405	0.09	0.05
Ground-truth non-viral	4	3	24	0.09	0.07
Ground-truth non-viral	4	4	91	0.09	0.09
Ground-truth non-viral	4	5	62	0.09	0.11
Ground-truth non-viral	4	6	25	0.09	0.13
Ground-truth non-viral	4	7	38	0.09	0.15
Ground-truth non-viral	4	8	12	0.09	0.17
Ground-truth non-viral	4	9	29	0.09	0.19
Ground-truth non-viral	4	10	27	0.09	0.21
Ground-truth non-viral	4	11	14	0.09	0.23
Ground-truth non-viral	4	12	13	0.09	0.25
Ground-truth non-viral	4	13	12	0.09	0.27
Ground-truth non-viral	4	14	17	0.09	0.29
Ground-truth non-viral	4	15	13	0.09	0.31
Ground-truth non-viral	4	16	9	0.09	0.33
Ground-truth non-viral	4	17	12	0.09	0.35
Ground-truth non-viral	4	18	9	0.09	0.37
Ground-truth non-viral	4	19	10	0.09	0.39
Ground-truth non-viral	4	20	6	0.09	0.41
Ground-truth non-viral	4	21	11	0.09	0.43
Ground-truth non-viral	4	22	8	0.09	0.45
Ground-truth non-viral	4	23	11	0.09	0.47
Ground-truth non-viral	4	24	9	0.09	0.49
Ground-truth non-viral	4	25	13	0.09	0.51
Ground-truth non-viral	4	26	10	0.09	0.53
Ground-truth non-viral	4	27	11	0.09	0.55
Ground-truth non-viral	4	28	5	0.09	0.57
Ground-truth non-viral	4	29	10	0.09	0.59
Ground-truth non-viral	4	30	13	0.09	0.61
Ground-truth non-viral	4	31	4	0.09	0.63
Ground-truth non-viral	4	32	8	0.09	0.65
Ground-truth non-viral	4	33	11	0.09	0.67
Ground-truth non-viral	4	34	12	0.09	0.69
Ground-truth non-viral	4	35	10	0.09	0.71
Ground-truth non-viral	4	36	6	0.09	0.73
Ground-truth non-viral	4	37	8	0.09	0.75
Ground-truth non-viral	4	38	7	0.09	0.77
Ground-truth non-viral	4	39	8	0.09	0.79
Ground-truth non-viral	4	40	9	0.09	0.81
Ground-truth non-viral	4	41	4	0.09	0.83
Ground-truth non-viral	4	42	7	0.09	0.85
Ground-truth non-viral	4	43	6	0.09	0.87
Ground-truth non-viral	4	44	3	0.09	0.89
Ground-truth non-viral	4	45	14	0.09	0.91
Ground-truth non-viral	4	46	6	0.09	0.93
Ground-truth non-viral	4	47	28	0.09	0.95
Ground-truth non-viral	4	48	3	0.09	0.97
Ground-truth non-viral	4	49	55	0.09	0.99
Ground-truth non-viral	5	0	10200	0.11	0.01
Ground-truth non-viral	5	1	11	0.11	0.03
Ground-truth non-viral	5	2	301	0.11	0.05
Ground-truth non-viral	5	3	18	0.11	0.07
Ground-truth non-viral	5	4	65	0.11	0.09
Ground-truth non-viral	5	5	59	0.11	0.11
Ground-truth non-viral	5	6	21	0.11	0.13
Ground-truth non-viral	5	7	43	0.11	0.15
Ground-truth non-viral	5	8	20	0.11	0.17
Ground-truth non-viral	5	9	22	0.11	0.19
Ground-truth non-viral	5	10	16	0.11	0.21
Ground-truth non-viral	5	11	21	0.11	0.23
Ground-truth non-viral	5	12	17	0.11	0.25
Ground-truth non-viral	5	13	15	0.11	0.27
Ground-truth non-viral	5	14	15	0.11	0.29
Ground-truth non-viral	5	15	11	0.11	0.31
Ground-truth non-viral	5	16	9	0.11	0.33
Ground-truth non-viral	5	17	9	0.11	0.35
Ground-truth non-viral	5	18	10	0.11	0.37
Ground-truth non-viral	5	19	17	0.11	0.39
Ground-truth non-viral	5	20	13	0.11	0.41
Ground-truth non-viral	5	21	8	0.11	0.43
Ground-truth non-viral	5	22	13	0.11	0.45
Ground-truth non-viral	5	23	10	0.11	0.47
Ground-truth non-viral	5	24	8	0.11	0.49
Ground-truth non-viral	5	25	7	0.11	0.51
Ground-truth non-viral	5	26	6	0.11	0.53
Ground-truth non-viral	5	27	8	0.11	0.55
Ground-truth non-viral	5	28	2	0.11	0.57
Ground-truth non-viral	5	29	3	0.11	0.59
Ground-truth non-viral	5	30	4	0.11	0.61
Ground-truth non-viral	5	31	7	0.11	0.63
Ground-truth non-viral	5	32	6	0.11	0.65
Ground-truth non-viral	5	33	10	0.11	0.67
Ground-truth non-viral	5	34	6	0.11	0.69
Ground-truth non-viral	5	35	11	0.11	0.71
Ground-truth non-viral	5	36	7	0.11	0.73
Ground-truth non-viral	5	37	7	0.11	0.75
Ground-truth non-viral	5	38	8	0.11	0.77
Ground-truth non-viral	5	39	4	0.11	0.79
Ground-truth non-viral	5	40	1	0.11	0.81
Ground-truth non-viral	5	41	8	0.11	0.83
Ground-truth non-viral	5	42	10	0.11	0.85
Ground-truth non-viral	5	43	8	0.11	0.87
Ground-truth non-viral	5	44	8	0.11	0.89
Ground-truth non-viral	5	45	14	0.11	0.91
Ground-truth non-viral	5	46	6	0.11	0.93
Ground-truth non-viral	5	47	10	0.11	0.95
Ground-truth non-viral	5	48	1	0.11	0.97
Ground-truth non-viral	5	49	42	0.11	0.99
Ground-truth non-viral	6	0	8235	0.13	0.01
Ground-truth non-viral	6	1	14	0.13	0.03
Ground-truth non-viral	6	2	288	0.13	0.05
Ground-truth non-viral	6	3	20	0.13	0.07
Ground-truth non-viral	6	4	48	0.13	0.09
Ground-truth non-viral	6	5	38	0.13	0.11
Ground-truth non-viral	6	6	18	0.13	0.13
Ground-truth non-viral	6	7	25	0.13	0.15
Ground-truth non-viral	6	8	11	0.13	0.17
Ground-truth non-viral	6	9	14	0.13	0.19
Ground-truth non-viral	6	10	10	0.13	0.21
Ground-truth non-viral	6	11	10	0.13	0.23
Ground-truth non-viral	6	12	17	0.13	0.25
Ground-truth non-viral	6	13	6	0.13	0.27
Ground-truth non-viral	6	14	6	0.13	0.29
Ground-truth non-viral	6	15	12	0.13	0.31
Ground-truth non-viral	6	16	10	0.13	0.33
Ground-truth non-viral	6	17	9	0.13	0.35
Ground-truth non-viral	6	18	7	0.13	0.37
Ground-truth non-viral	6	19	8	0.13	0.39
Ground-truth non-viral	6	20	6	0.13	0.41
Ground-truth non-viral	6	21	7	0.13	0.43
Ground-truth non-viral	6	22	10	0.13	0.45
Ground-truth non-viral	6	23	6	0.13	0.47
Ground-truth non-viral	6	24	9	0.13	0.49
Ground-truth non-viral	6	25	6	0.13	0.51
Ground-truth non-viral	6	26	3	0.13	0.53
Ground-truth non-viral	6	27	10	0.13	0.55
Ground-truth non-viral	6	28	11	0.13	0.57
Ground-truth non-viral	6	29	5	0.13	0.59
Ground-truth non-viral	6	30	8	0.13	0.61
Ground-truth non-viral	6	31	13	0.13	0.63
Ground-truth non-viral	6	32	11	0.13	0.65
Ground-truth non-viral	6	33	5	0.13	0.67
Ground-truth non-viral	6	34	14	0.13	0.69
Ground-truth non-viral	6	35	11	0.13	0.71
Ground-truth non-viral	6	36	8	0.13	0.73
Ground-truth non-viral	6	37	7	0.13	0.75
Ground-truth non-viral	6	38	4	0.13	0.77
Ground-truth non-viral	6	39	5	0.13	0.79
Ground-truth non-viral	6	40	9	0.13	0.81
Ground-truth non-viral	6	41	10	0.13	0.83
Ground-truth non-viral	6	42	7	0.13	0.85
Ground-truth non-viral	6	43	7	0.13	0.87
Ground-truth non-viral	6	44	7	0.13	0.89
Ground-truth non-viral	6	45	10	0.13	0.91
Ground-truth non-viral	6	46	3	0.13	0.93
Ground-truth non-viral	6	47	21	0.13	0.95
Ground-truth non-viral	6	48	3	0.13	0.97
Ground-truth non-viral	6	49	42	0.13	0.99
Ground-truth non-viral	7	0	6630	0.15	0.01
Ground-truth non-viral	7	1	14	0.15	0.03
Ground-truth non-viral	7	2	229	0.15	0.05
Ground-truth non-viral	7	3	19	0.15	0.07
Ground-truth non-viral	7	4	37	0.15	0.09
Ground-truth non-viral	7	5	22	0.15	0.11
Ground-truth non-viral	7	6	25	0.15	0.13
Ground-truth non-viral	7	7	22	0.15	0.15
Ground-truth non-viral	7	8	18	0.15	0.17
Ground-truth non-viral	7	9	15	0.15	0.19
Ground-truth non-viral	7	10	12	0.15	0.21
Ground-truth non-viral	7	11	13	0.15	0.23
Ground-truth non-viral	7	12	11	0.15	0.25
Ground-truth non-viral	7	13	9	0.15	0.27
Ground-truth non-viral	7	14	12	0.15	0.29
Ground-truth non-viral	7	15	1	0.15	0.31
Ground-truth non-viral	7	16	4	0.15	0.33
Ground-truth non-viral	7	17	9	0.15	0.35
Ground-truth non-viral	7	18	5	0.15	0.37
Ground-truth non-viral	7	19	11	0.15	0.39
Ground-truth non-viral	7	20	8	0.15	0.41
Ground-truth non-viral	7	21	7	0.15	0.43
Ground-truth non-viral	7	22	5	0.15	0.45
Ground-truth non-viral	7	23	5	0.15	0.47
Ground-truth non-viral	7	24	5	0.15	0.49
Ground-truth non-viral	7	25	4	0.15	0.51
Ground-truth non-viral	7	26	1	0.15	0.53
Ground-truth non-viral	7	27	11	0.15	0.55
Ground-truth non-viral	7	28	2	0.15	0.57
Ground-truth non-viral	7	29	6	0.15	0.59
Ground-truth non-viral	7	30	4	0.15	0.61
Ground-truth non-viral	7	31	3	0.15	0.63
Ground-truth non-viral	7	32	4	0.15	0.65
Ground-truth non-viral	7	33	8	0.15	0.67
Ground-truth non-viral	7	34	10	0.15	0.69
Ground-truth non-viral	7	35	9	0.15	0.71
Ground-truth non-viral	7	36	3	0.15	0.73
Ground-truth non-viral	7	37	7	0.15	0.75
Ground-truth non-viral	7	38	7	0.15	0.77
Ground-truth non-viral	7	39	4	0.15	0.79
Ground-truth non-viral	7	40	3	0.15	0.81
Ground-truth non-viral	7	41	5	0.15	0.83
Ground-truth non-viral	7	42	10	0.15	0.85
Ground-truth non-viral	7	43	5	0.15	0.87
Ground-truth non-viral	7	44	5	0.15	0.89
Ground-truth non-viral	7	45	15	0.15	0.91
Ground-truth non-viral	7	46	6	0.15	0.93
Ground-truth non-viral	7	47	18	0.15	0.95
Ground-truth non-viral	7	48	6	0.15	0.97
Ground-truth non-viral	7	49	37	0.15	0.99
Ground-truth non-viral	8	0	5736	0.17	0.01
Ground-truth non-viral	8	1	17	0.17	0.03
Ground-truth non-viral	8	2	212	0.17	0.05
Ground-truth non-viral	8	3	13	0.17	0.07
Ground-truth non-viral	8	4	44	0.17	0.09
Ground-truth non-viral	8	5	24	0.17	0.11
Ground-truth non-viral	8	6	16	0.17	0.13
Ground-truth non-viral	8	7	19	0.17	0.15
Ground-truth non-viral	8	8	14	0.17	0.17
Ground-truth non-viral	8	9	17	0.17	0.19
Ground-truth non-viral	8	10	10	0.17	0.21
Ground-truth non-viral	8	11	10	0.17	0.23
Ground-truth non-viral	8	12	10	0.17	0.25
Ground-truth non-viral	8	13	6	0.17	0.27
Ground-truth non-viral	8	14	3	0.17	0.29
Ground-truth non-viral	8	15	9	0.17	0.31
Ground-truth non-viral	8	16	6	0.17	0.33
Ground-truth non-viral	8	17	8	0.17	0.35
Ground-truth non-viral	8	18	10	0.17	0.37
Ground-truth non-viral	8	19	11	0.17	0.39
Ground-truth non-viral	8	20	7	0.17	0.41
Ground-truth non-viral	8	21	7	0.17	0.43
Ground-truth non-viral	8	22	7	0.17	0.45
Ground-truth non-viral	8	23	11	0.17	0.47
Ground-truth non-viral	8	24	16	0.17	0.49
Ground-truth non-viral	8	25	7	0.17	0.51
Ground-truth non-viral	8	26	4	0.17	0.53
Ground-truth non-viral	8	27	10	0.17	0.55
Ground-truth non-viral	8	28	10	0.17	0.57
Ground-truth non-viral	8	29	3	0.17	0.59
Ground-truth non-viral	8	30	7	0.17	0.61
Ground-truth non-viral	8	31	16	0.17	0.63
Ground-truth non-viral	8	32	5	0.17	0.65
Ground-truth non-viral	8	33	1	0.17	0.67
Ground-truth non-viral	8	34	12	0.17	0.69
Ground-truth non-viral	8	35	3	0.17	0.71
Ground-truth non-viral	8	36	5	0.17	0.73
Ground-truth non-viral	8	37	9	0.17	0.75
Ground-truth non-viral	8	38	6	0.17	0.77
Ground-truth non-viral	8	39	13	0.17	0.79
Ground-truth non-viral	8	40	4	0.17	0.81
Ground-truth non-viral	8	41	4	0.17	0.83
Ground-truth non-viral	8	42	7	0.17	0.85
Ground-truth non-viral	8	43	5	0.17	0.87
Ground-truth non-viral	8	44	7	0.17	0.89
Ground-truth non-viral	8	45	5	0.17	0.91
Ground-truth non-viral	8	46	1	0.17	0.93
Ground-truth non-viral	8	47	15	0.17	0.95
Ground-truth non-viral	8	48	4	0.17	0.97
Ground-truth non-viral	8	49	44	0.17	0.99
Ground-truth non-viral	9	0	4822	0.19	0.01
Ground-truth non-viral	9	1	8	0.19	0.03
Ground-truth non-viral	9	2	183	0.19	0.05
Ground-truth non-viral	9	3	19	0.19	0.07
Ground-truth non-viral	9	4	34	0.19	0.09
Ground-truth non-viral	9	5	17	0.19	0.11
Ground-truth non-viral	9	6	11	0.19	0.13
Ground-truth non-viral	9	7	29	0.19	0.15
Ground-truth non-viral	9	8	17	0.19	0.17
Ground-truth non-viral	9	9	13	0.19	0.19
Ground-truth non-viral	9	10	16	0.19	0.21
Ground-truth non-viral	9	11	9	0.19	0.23
Ground-truth non-viral	9	12	7	0.19	0.25
Ground-truth non-viral	9	13	6	0.19	0.27
Ground-truth non-viral	9	14	8	0.19	0.29
Ground-truth non-viral	9	15	5	0.19	0.31
Ground-truth non-viral	9	16	6	0.19	0.33
Ground-truth non-viral	9	17	9	0.19	0.35
Ground-truth non-viral	9	18	5	0.19	0.37
Ground-truth non-viral	9	19	3	0.19	0.39
Ground-truth non-viral	9	20	8	0.19	0.41
Ground-truth non-viral	9	21	9	0.19	0.43
Ground-truth non-viral	9	22	1	0.19	0.45
Ground-truth non-viral	9	23	6	0.19	0.47
Ground-truth non-viral	9	24	4	0.19	0.49
Ground-truth non-viral	9	25	4	0.19	0.51
Ground-truth non-viral	9	26	2	0.19	0.53
Ground-truth non-viral	9	27	6	0.19	0.55
Ground-truth non-viral	9	28	4	0.19	0.57
Ground-truth non-viral	9	29	7	0.19	0.59
Ground-truth non-viral	9	30	6	0.19	0.61
Ground-truth non-viral	9	31	4	0.19	0.63
Ground-truth non-viral	9	32	3	0.19	0.65
Ground-truth non-viral	9	33	5	0.19	0.67
Ground-truth non-viral	9	34	4	0.19	0.69
Ground-truth non-viral	9	35	5	0.19	0.71
Ground-truth non-viral	9	36	5	0.19	0.73
Ground-truth non-viral	9	37	5	0.19	0.75
Ground-truth non-viral	9	38	5	0.19	0.77
Ground-truth non-viral	9	39	8	0.19	0.79
Ground-truth non-viral	9	40	2	0.19	0.81
Ground-truth non-viral	9	41	2	0.19	0.83
Ground-truth non-viral	9	42	5	0.19	0.85
Ground-truth non-viral	9	43	3	0.19	0.87
Ground-truth non-viral	9	44	8	0.19	0.89
Ground-truth non-viral	9	45	7	0.19	0.91
Ground-truth non-viral	9	47	18	0.19	0.95
Ground-truth non-viral	9	48	2	0.19	0.97
Ground-truth non-viral	9	49	32	0.19	0.99
Ground-truth non-viral	10	0	4191	0.21	0.01
Ground-truth non-viral	10	1	6	0.21	0.03
Ground-truth non-viral	10	2	141	0.21	0.05
Ground-truth non-viral	10	3	10	0.21	0.07
Ground-truth non-viral	10	4	36	0.21	0.09
Ground-truth non-viral	10	5	14	0.21	0.11
Ground-truth non-viral	10	6	18	0.21	0.13
Ground-truth non-viral	10	7	22	0.21	0.15
Ground-truth non-viral	10	8	17	0.21	0.17
Ground-truth non-viral	10	9	16	0.21	0.19
Ground-truth non-viral	10	10	14	0.21	0.21
Ground-truth non-viral	10	11	12	0.21	0.23
Ground-truth non-viral	10	12	17	0.21	0.25
Ground-truth non-viral	10	13	5	0.21	0.27
Ground-truth non-viral	10	14	12	0.21	0.29
Ground-truth non-viral	10	15	6	0.21	0.31
Ground-truth non-viral	10	16	12	0.21	0.33
Ground-truth non-viral	10	17	4	0.21	0.35
Ground-truth non-viral	10	18	7	0.21	0.37
Ground-truth non-viral	10	19	8	0.21	0.39
Ground-truth non-viral	10	20	7	0.21	0.41
Ground-truth non-viral	10	21	5	0.21	0.43
Ground-truth non-viral	10	22	6	0.21	0.45
Ground-truth non-viral	10	23	9	0.21	0.47
Ground-truth non-viral	10	24	6	0.21	0.49
Ground-truth non-viral	10	25	4	0.21	0.51
Ground-truth non-viral	10	26	5	0.21	0.53
Ground-truth non-viral	10	27	7	0.21	0.55
Ground-truth non-viral	10	28	8	0.21	0.57
Ground-truth non-viral	10	29	8	0.21	0.59
Ground-truth non-viral	10	30	9	0.21	0.61
Ground-truth non-viral	10	31	3	0.21	0.63
Ground-truth non-viral	10	32	6	0.21	0.65
Ground-truth non-viral	10	33	5	0.21	0.67
Ground-truth non-viral	10	34	8	0.21	0.69
Ground-truth non-viral	10	35	3	0.21	0.71
Ground-truth non-viral	10	36	9	0.21	0.73
Ground-truth non-viral	10	37	5	0.21	0.75
Ground-truth non-viral	10	38	3	0.21	0.77
Ground-truth non-viral	10	39	7	0.21	0.79
Ground-truth non-viral	10	40	7	0.21	0.81
Ground-truth non-viral	10	41	4	0.21	0.83
Ground-truth non-viral	10	42	7	0.21	0.85
Ground-truth non-viral	10	43	2	0.21	0.87
Ground-truth non-viral	10	44	4	0.21	0.89
Ground-truth non-viral	10	45	11	0.21	0.91
Ground-truth non-viral	10	46	4	0.21	0.93
Ground-truth non-viral	10	47	17	0.21	0.95
Ground-truth non-viral	10	49	41	0.21	0.99
Ground-truth non-viral	11	0	3823	0.23	0.01
Ground-truth non-viral	11	1	5	0.23	0.03
Ground-truth non-viral	11	2	138	0.23	0.05
Ground-truth non-viral	11	3	10	0.23	0.07
Ground-truth non-viral	11	4	37	0.23	0.09
Ground-truth non-viral	11	5	30	0.23	0.11
Ground-truth non-viral	11	6	19	0.23	0.13
Ground-truth non-viral	11	7	17	0.23	0.15
Ground-truth non-viral	11	8	9	0.23	0.17
Ground-truth non-viral	11	9	9	0.23	0.19
